Team,1,2,3,4,5,6,7,8,9,R,H,E,Game,10,11,12,13,14,15,16,17,18,19
STL,0,0,0,0,0,0,0,0,1,1,5,0,360403123,,,,,,,,,,
PIT,0,2,0,0,0,1,0,1,-,4,9,1,360403123,,,,,,,,,,
TOR,2,0,0,1,0,0,0,2,0,5,7,2,360403130,,,,,,,,,,
TB,0,0,1,0,0,0,0,0,2,3,7,1,360403130,,,,,,,,,,
NYM,0,0,0,0,0,0,0,3,0,3,7,1,360403107,,,,,,,,,,
KC,1,0,0,1,0,2,0,0,-,4,9,0,360403107,,,,,,,,,,
SF,0,2,2,1,2,0,0,5,0,12,15,0,360404108,,,,,,,,,,
MIL,1,1,1,0,0,0,0,0,0,3,8,1,360404108,,,,,,,,,,
MIN,0,0,0,0,0,0,2,0,0,2,7,0,360404101,,,,,,,,,,
BAL,0,0,0,0,2,0,0,0,1,3,10,0,360404101,,,,,,,,,,
SEA,1,1,0,0,0,0,0,0,0,2,4,2,360404113,,,,,,,,,,
TEX,0,0,0,0,3,0,0,0,-,3,1,1,360404113,,,,,,,,,,
WSH,1,0,0,1,0,0,0,0,1,4,8,0,360404115,1.0,,,,,,,,,
ATL,1,0,0,1,0,0,0,1,0,3,4,2,360404115,0.0,,,,,,,,,
PHI,0,2,0,0,0,0,0,0,0,2,6,2,360404117,,,,,,,,,,
CIN,1,0,0,0,0,0,0,5,-,6,6,0,360404117,,,,,,,,,,
LAD,2,0,1,0,0,5,3,4,0,15,17,0,360404125,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,4,2,360404125,,,,,,,,,,
TOR,0,0,1,3,1,0,0,0,0,5,7,1,360404130,,,,,,,,,,
TB,0,1,0,0,1,1,0,0,0,3,8,0,360404130,,,,,,,,,,
COL,0,0,6,1,0,0,0,3,0,10,15,0,360404129,,,,,,,,,,
ARI,0,1,0,2,2,0,0,0,0,5,12,0,360404129,,,,,,,,,,
CHC,1,0,0,2,0,2,1,0,3,9,11,0,360404103,,,,,,,,,,
LAA,0,0,0,0,0,0,0,0,0,0,3,1,360404103,,,,,,,,,,
CHW,0,0,4,0,0,0,0,0,0,4,7,1,360404111,,,,,,,,,,
OAK,0,0,3,0,0,0,0,0,0,3,7,2,360404111,,,,,,,,,,
HOU,0,0,0,1,0,1,0,3,0,5,6,0,360405110,,,,,,,,,,
NYY,0,2,0,0,0,0,0,1,0,3,4,1,360405110,,,,,,,,,,
BOS,0,0,2,0,0,2,0,0,2,6,11,0,360405105,,,,,,,,,,
CLE,0,0,0,2,0,0,0,0,0,2,5,1,360405105,,,,,,,,,,
NYM,0,0,0,2,0,0,0,0,0,2,6,0,360405107,,,,,,,,,,
KC,0,0,0,0,0,0,0,0,0,0,3,0,360405107,,,,,,,,,,
STL,0,0,2,2,1,0,0,0,0,5,8,1,360405123,0.0,0.0,,,,,,,,
PIT,0,2,1,0,2,0,0,0,0,6,12,2,360405123,0.0,1.0,,,,,,,,
DET,1,3,0,0,1,0,0,0,2,8,12,1,360405128,0.0,1.0,,,,,,,,
MIA,0,0,0,0,0,3,0,1,3,7,10,2,360405128,0.0,0.0,,,,,,,,
TOR,0,0,0,2,0,0,0,0,0,2,9,0,360405130,,,,,,,,,,
TB,0,0,0,1,0,0,0,2,-,3,7,1,360405130,,,,,,,,,,
SEA,0,1,0,1,0,0,2,6,0,10,11,1,360405113,,,,,,,,,,
TEX,0,0,0,2,0,0,0,0,0,2,7,1,360405113,,,,,,,,,,
SF,0,0,1,1,0,0,0,0,0,2,7,0,360405108,,,,,,,,,,
MIL,0,1,0,0,0,0,0,0,0,1,6,0,360405108,,,,,,,,,,
COL,0,0,0,6,0,0,0,0,0,6,9,0,360405129,,,,,,,,,,
ARI,1,0,1,0,0,3,6,0,-,11,15,0,360405129,,,,,,,,,,
CHC,0,0,4,0,0,0,2,0,0,6,9,1,360405103,,,,,,,,,,
LAA,0,0,0,0,0,1,0,0,0,1,4,0,360405103,,,,,,,,,,
CHW,0,0,0,0,3,1,0,0,1,5,11,0,360405111,,,,,,,,,,
OAK,0,0,1,0,1,0,0,2,0,4,10,0,360405111,,,,,,,,,,
